PERIODO,DEMANDA,SALARIOS,VAGREGADO
31/12/2003,5561131.176,2352276.489,7475601.607
31/12/2004,6075695.95,2531434.785,8438018.675
31/12/2005,6609187.616,2713729.144,9166972.827
31/12/2006,7194905.543,2956454.982,10230935.54
31/12/2007,7775574.35,3167550.237,11067172.92
31/12/2008,8321595.341,3424541.891,12037449.3
31/12/2009,8065816.633,3512017.86,11658910.62
31/12/2010,8794798.091,3721504.121,12824221.19
31/12/2011,9554162.708,4002511.894,14160747.85
31/12/2012,10294340.59,4319760.086,15334939.7
31/12/2013,10880669.78,4542853.366,15642619.85
31/12/2014,11603061.74,4802858.036,16579960.51
31/12/2015,12268406.76,5079873.773,17499014.26
31/12/2016,13363026.53,5350689.703,18870690.39
31/12/2017,14505780.05,5698481.546,20722063.7
31/12/2018,15455455.01,6132223.715,22221189.96
31/12/2019,16149153.05,6493212.039,23016032.91
