,GEO,grade,home_ownership,initial_list_status,purpose,term,verification_status,emp_length,last_fico_range_high,total_rec_prncp,int_rate
19916,I,E,MORTGAGE,w,home_improvement, 60 months,Source Verified,10+ years,549.0,3374.59,19.24
31300,I,D,MORTGAGE,w,debt_consolidation, 60 months,Verified,10+ years,554.0,2722.39,17.14
45410,I,A,MORTGAGE,f,credit_card, 36 months,Source Verified,4 years,679.0,19200.0,8.39
97887,E,B,MORTGAGE,w,debt_consolidation, 36 months,Source Verified,5 years,589.0,10813.79,11.67
94703,I,D,MORTGAGE,f,debt_consolidation, 36 months,Not Verified,5 years,644.0,6000.0,16.29
80100,E,B,MORTGAGE,w,debt_consolidation, 36 months,Verified,10+ years,704.0,15000.0,10.99
56334,I,C,RENT,w,credit_card, 36 months,Not Verified,1 year,499.0,717.02,13.98
57029,I,B,MORTGAGE,w,credit_card, 60 months,Not Verified,10+ years,724.0,12000.0,10.99
50000,I,B,MORTGAGE,f,debt_consolidation, 36 months,Not Verified,10+ years,699.0,10000.0,12.49
7402,E,D,MORTGAGE,w,debt_consolidation, 60 months,Verified,5 years,624.0,10262.01,16.49
33887,I,B,MORTGAGE,w,debt_consolidation, 36 months,Not Verified,10+ years,689.0,9000.0,10.99
69247,W,A,RENT,w,debt_consolidation, 36 months,Source Verified,9 years,699.0,8000.0,6.49
13134,W,C,RENT,w,debt_consolidation, 60 months,Verified,8 years,799.0,35000.0,14.31
66118,E,D,OWN,f,debt_consolidation, 36 months,Verified,,644.0,6550.0,15.61
94124,W,B,MORTGAGE,f,debt_consolidation, 36 months,Source Verified,10+ years,659.0,13500.0,9.17
42021,W,C,OWN,w,car, 36 months,Verified,3 years,549.0,225.18,13.98
5766,E,C,RENT,f,credit_card, 36 months,Not Verified,4 years,549.0,1889.17,14.99
7388,I,D,MORTGAGE,w,debt_consolidation, 36 months,Not Verified,< 1 year,564.0,896.68,15.99
24372,W,C,RENT,f,debt_consolidation, 36 months,Source Verified,10+ years,729.0,15000.0,13.66
35923,W,A,MORTGAGE,w,credit_card, 36 months,Source Verified,10+ years,539.0,4588.28,8.39
97033,E,F,RENT,f,debt_consolidation, 36 months,Not Verified,4 years,499.0,3725.78,23.43
16423,E,D,RENT,f,debt_consolidation, 36 months,Verified,,534.0,8839.33,15.59
87939,E,A,OWN,w,debt_consolidation, 36 months,Verified,,644.0,1730.89,8.39
81506,I,B,MORTGAGE,w,debt_consolidation, 36 months,Not Verified,10+ years,614.0,5000.0,12.49
96104,I,C,MORTGAGE,w,credit_card, 60 months,Verified,10+ years,589.0,5148.25,14.99
379,I,D,MORTGAGE,w,debt_consolidation, 60 months,Verified,10+ years,554.0,3066.7,17.14
73452,E,A,MORTGAGE,f,debt_consolidation, 36 months,Verified,8 years,794.0,25800.0,6.49
