PERIODO,CONSUMO
01/01/1993,59.2
01/02/1993,58.1
01/03/1993,62.9
01/04/1993,60.7
01/05/1993,62.4
01/06/1993,62.2
01/07/1993,61.7
01/08/1993,60.5
01/09/1993,60.5
01/10/1993,61.9
01/11/1993,62.2
01/12/1993,68.1
01/01/1994,61.3
01/02/1994,59.7
01/03/1994,63.5
01/04/1994,64
01/05/1994,64.6
01/06/1994,65.6
01/07/1994,65.1
01/08/1994,65.4
01/09/1994,64.2
01/10/1994,65.9
01/11/1994,67
01/12/1994,69
01/01/1995,63.2
01/02/1995,60.6
01/03/1995,64.1
01/04/1995,61
01/05/1995,62.6
01/06/1995,63.3
01/07/1995,62.3
01/08/1995,63
01/09/1995,61.6
01/10/1995,63.4
01/11/1995,64.3
01/12/1995,67.3
01/01/1996,63.9
01/02/1996,61.8
01/03/1996,65.2
01/04/1996,63.4
01/05/1996,65.6
01/06/1996,64.7
01/07/1996,66.3
01/08/1996,65.6
01/09/1996,63.8
01/10/1996,67.8
01/11/1996,68
01/12/1996,70.3
01/01/1997,67.1
01/02/1997,65.1
01/03/1997,66.8
01/04/1997,69.9
01/05/1997,70.2
01/06/1997,69.7
01/07/1997,70.8
01/08/1997,69.6
01/09/1997,69
01/10/1997,73.1
01/11/1997,72
01/12/1997,74.7
01/01/1998,70.6
01/02/1998,68.9
01/03/1998,74.3
01/04/1998,72.1
01/05/1998,74.5
01/06/1998,74.2
01/07/1998,75.4
01/08/1998,73.8
01/09/1998,73
01/10/1998,76
01/11/1998,75.1
01/12/1998,78.5
01/01/1999,73.6
01/02/1999,71.3
01/03/1999,76.9
01/04/1999,75.1
01/05/1999,77.2
01/06/1999,77
01/07/1999,78.8
01/08/1999,77.2
01/09/1999,76.6
01/10/1999,79
01/11/1999,78.7
01/12/1999,82.7
01/01/2000,78
01/02/2000,76.3
01/03/2000,81.6
01/04/2000,78
01/05/2000,82.6
01/06/2000,81.8
01/07/2000,82.5
01/08/2000,82
01/09/2000,80.5
01/10/2000,84
01/11/2000,82.5
01/12/2000,84.5
01/01/2001,80.9
01/02/2001,77.1
01/03/2001,83.3
01/04/2001,80.1
01/05/2001,84
01/06/2001,83.8
01/07/2001,83.3
01/08/2001,83.2
01/09/2001,80.8
01/10/2001,84.5
01/11/2001,83.5
01/12/2001,85.2
01/01/2002,81.7
01/02/2002,77.7
01/03/2002,82.1
01/04/2002,84.8
01/05/2002,85.3
01/06/2002,83.5
01/07/2002,85.7
01/08/2002,84.1
01/09/2002,81.8
01/10/2002,85.9
01/11/2002,83.9
01/12/2002,86.1
01/01/2003,83
01/02/2003,79.9
01/03/2003,84.4
01/04/2003,83.6
01/05/2003,86.2
01/06/2003,85.1
01/07/2003,86.7
01/08/2003,84.3
01/09/2003,84.1
01/10/2003,87
01/11/2003,86.1
01/12/2003,90.7
01/01/2004,85.4
01/02/2004,82.9
01/03/2004,89.3
01/04/2004,86.9
01/05/2004,89.2
01/06/2004,89.9
01/07/2004,90.6
01/08/2004,88.9
01/09/2004,87.9
01/10/2004,89.2
01/11/2004,91.5
01/12/2004,93.9
01/01/2005,88.7
01/02/2005,85.3
01/03/2005,88.9
01/04/2005,90.9
01/05/2005,92.4
01/06/2005,90.7
01/07/2005,90.8
01/08/2005,91.8
01/09/2005,90.4
01/10/2005,90.9
01/11/2005,92.3
01/12/2005,93.6
01/01/2006,91
01/02/2006,87.8
01/03/2006,93.1
01/04/2006,91.7
01/05/2006,96.6
01/06/2006,95.5
01/07/2006,94.1
